,nid,gender,name,birth_month,birth_day,birth_year,occup,occup_elaborate,children,stepson,survivors,survivors_children,survivors_others,educ_inst,diploma,date_death,cause_death,milit,birth,raised,last_lived,place_death,Religion,text,text_tok,text_char
77,58,man,John Deer,September,19,1924,Real Estate Developer,3,3,,1 wife,3,"1 sister, 1 cousin",Brown,,"October 1st, 2024",congestive heart failure,did not serve,"Pittsburgh , Pennsylvania",the same place as they were born in,San Diego  ,,none mentioned,"John Deer, a pioneering Real Estate Developer known for his visionary projects that reshaped skylines, passed away peacefully on October 7th, 2024, in San Diego, at the age of 100. He was born on September 19, 1924, in Pittsburgh, Pennsylvania, where he also spent his formative years. John's impact on the urban landscape will endure for generations to come, as his developments continue to stand as testaments to his ingenuity and foresight.

A graduate of Brown University, John Deer honed his craft through practical experience and a keen eye for emerging market trends. His approach to real estate development was marked by a commitment to sustainable practices and a dedication to creating vibrant, livable communities. Among his most notable projects was the redevelopment of a historic waterfront district, where he seamlessly integrated modern amenities with the area's rich architectural heritage.

John's legacy extends beyond his professional accomplishments, as he was a devoted husband, father, brother, and cousin. He is survived by his loving wife, three children, a cherished sister, and a close cousin who admired his unwavering dedication to both his family and his work. Anecdotes abound about John's jovial nature and his propensity for regaling friends and colleagues with stories from his early days in the industry, always infused with humor and a twinkle in his eye.

Despite his achievements, John remained remarkably humble, attributing his success to a combination of hard work, perseverance, and a bit of luck. He often reflected on his time at an esteemed but unnamed institution where he studied before transferring to Brown, noting that the lessons learned in those early years laid the foundation for his future endeavors. His commitment to philanthropy was another hallmark of his character, with John quietly supporting numerous charitable causes that aligned with his values.

In his later years, John Deer continued to engage actively in the real estate community, mentoring emerging professionals and advocating for sustainable development practices. His impact on the industry was profound, inspiring a new generation of developers to approach their work with integrity and a long-term perspective. Colleagues remember him as a visionary leader who was equally at ease negotiating multimillion-dollar deals and chatting with construction crews on-site.

The news of John's passing was met with sadness and nostalgia by those who knew him, with many sharing fond memories of his warmth and generosity. His family, in particular, will miss his unwavering support and sage advice, which were always delivered with a mix of wit and wisdom. As he takes his place among the giants of real estate history, John Deer leaves behind a legacy that will endure as a testament to his unmatched passion for building communities and creating lasting impact through his work. He will be dearly missed, but his spirit will live on in the projects he so lovingly brought to life.",527,3000
78,59,man,John Deer,January,26,1909,Marketing Manager,4,3,, ,3,,Yale,,"October 1st, 2024",brief illness,did not serve,"Cincinnati , Ohio",the same place as they were born in,Dallas  ,Houston Methodist Hospital,none mentioned,"John Deer, a distinguished Marketing Manager renowned for his innovative strategies and unwavering dedication to his craft, passed away at the age of 115 on October 7th, 2024, after a brief illness. Born on January 26, 1909, in Cincinnati, Ohio, John's legacy stretched far beyond his professional achievements, leaving an indelible mark on all who knew him.

Graduating from Yale, John Deer excelled in his academic pursuits, sharpening his intellect and honing his skills for the competitive world of marketing. Prior to Yale, John attended Harborview High School in Cincinnati where he displayed early signs of leadership and charisma that would define his future success.

Throughout his illustrious career, John, a loving father of three children, balanced the demands of work and family with grace and finesse. His sharp business acumen and innovative approaches earned him the reputation as a visionary in the field, paving the way for countless others to follow in his footsteps.

Anecdote 1: Colleagues fondly remember John's knack for turning seemingly impossible projects into resounding successes with his trademark blend of creativity and pragmatism. He was a mentor to many, always willing to share his expertise and guide the next generation of marketers.

Anecdote 2: Despite his professional achievements, John remained humble and approachable, never letting his success overshadow his kindness and generosity. He had a talent for making everyone feel valued and respected, regardless of their position or background.

Anecdote 3: John was an avid collector of vintage cars and could often be found spending weekends tinkering in his garage, restoring classic beauties to their former glory. His passion for automotive history was rivaled only by his love for his family, who he cherished above all else.

Survived by his three children, John Deer leaves behind a legacy of excellence and integrity that will endure for generations to come. His impact on the world of marketing and beyond is immeasurable, a testament to his enduring spirit and unwavering commitment to excellence.

John Deer's passing marks the end of an era, leaving a void in the hearts of all who knew him. His memory will forever be cherished, his legacy forever celebrated. The world has truly lost a visionary, but his legacy will continue to inspire and guide those who follow in his footsteps.

A private memorial service will be held in honor of John Deer at Houston Methodist Hospital, where he spent his final days surrounded by his loved ones. In lieu of flowers, the family requests donations be made to the American Cancer Society in John's memory, honoring his lifelong commitment to giving back to those in need.

John Deer's legacy will live on in the hearts of those who knew him, a shining example of excellence and compassion in a world that sorely needs both. May he rest in peace, knowing that his impact on the world will never be forgotten.",534,2949
79,61,man,John Deer,September,21,1970,Human Resources Manager,1,2,1 stepson,1 wife,2,, ,master's degree,"October 1st, 2024",not mentioned,did not serve,"Anchorage, Alaska",the same place as they were born in,New York  ,at home,episcopalian,"John Deer, a dedicated Human Resources Manager and loving family man, passed away peacefully at his home in New York on October 7th, 2024, at the age of 54. 

Born in Anchorage, Alaska, on September 21, 1970, John was the epitome of professionalism and compassion in his role as a Human Resources Manager. Known for his ability to build strong relationships within the workplace, John was admired by colleagues for his fairness and integrity.

John graduated with a master's degree from the University of Alaska Anchorage after attending the local high school, where he excelled both academically and socially. Though his education began in Anchorage, John later moved to New York for work, where he established his career and built his family.

Survived by his devoted wife, two children, and stepson, John leaves behind a legacy of love and devotion to his family. His children will always remember him as a supportive and understanding father who encouraged them to pursue their dreams.

Anecdote 1: John was known for organizing team-building retreats for his colleagues, where he would surprise them with his hidden talent for playing the harmonica, bringing joy and laughter to all.

Anecdote 2: Despite his busy schedule, John always made time to volunteer at local homeless shelters, emphasizing the importance of giving back to the community and showing compassion to those in need.

Anecdote 3: John had a passion for gardening and spent hours tending to his backyard garden, producing an abundance of fresh vegetables that he would share with neighbors and friends, spreading his love for nature and sustainability.

A devout Episcopalian, John found solace in his faith and regularly attended church services, finding comfort and strength in his beliefs.

Although John did not have a military career, his commitment to his work and family mirrored the dedication and discipline often seen in those who serve their country.

John Deer's untimely passing has left a void in the hearts of those who knew him, but his legacy of kindness, integrity, and unwavering love will continue to inspire all who were fortunate enough to have crossed paths with him. He will be deeply missed and fondly remembered by all who had the privilege of knowing him.",412,2256
80,62,man,John Deer,January,15,1989,Operations Manager,2,2,,1 wife,2,"1 sister, 1 cousin",Bowndoin College,master's degree,"October 1st, 2024",not mentioned,did not serve,"Plano, Texas ",the same place as they were born in,Los Angeles  ,in an elderly care facility,none mentioned,"John Deer, a devoted family man and accomplished Operations Manager, passed away on October 7th, 2024, at an elderly care facility in Los Angeles. He was 35 years old.

Born on January 15, 1989, in Plano, Texas, John was a proud alumnus of Bowdoin College, where he obtained his master's degree in Operations Management. Prior to his time at Bowdoin College, he also attended Pinehurst High School, where his love for problem-solving and leadership first began to flourish.

John dedicated many years to his career as an Operations Manager, where he excelled in coordinating and overseeing various aspects of business operations. Known for his analytical skills and strategic thinking, John became a respected figure in the industry, often sought after for his expertise and guidance. His commitment to excellence and his ability to inspire those around him set him apart in his field.

In addition to his successful career, John cherished his role as a husband and father. He is survived by his loving wife, two children, a devoted sister, and a caring cousin. Family was at the forefront of John's priorities, and he always made time to create lasting memories with his loved ones.

Anecdote 1: John was an avid baseball fan and could often be found cheering on his favorite team at a local sports bar with friends and family.

Anecdote 2: Despite his busy schedule, John made it a point to volunteer at a local animal shelter, where his compassion and kindness left a lasting impact on both the staff and the animals.

Anecdote 3: John had a passion for cooking and loved experimenting with new recipes in the kitchen. His culinary creations became a highlight of family gatherings, with his famous BBQ ribs being a crowd favorite.

While John's life was cut short, his memory will live on through the countless lives he touched and the legacy of love and dedication he leaves behind. He will be deeply missed by all who knew him.",370,1933
81,63,man,John Deer,January,8,1962,Public Relations Manager,3,1,,1 partner,1,,princeton,college,"October 1st, 2024",complications from a stroke,did not serve,"Henderson, Nevada",the same place as they were born in,Chicago  ,,none mentioned,"John Deer, a respected Public Relations Manager known for his exceptional communication skills and unwavering dedication to his craft, passed away on October 7th, 2024, in his home in Chicago. He was 62 years old. Born in Henderson, Nevada, on January 8, 1962, John's early years were spent in the same city where he was born, laying the foundation for the strong and determined individual he would become.

Throughout his career, John excelled in his role as a Public Relations Manager, driving successful campaigns for a variety of clients and earning a reputation for his creative approach to storytelling. His ability to navigate complex media landscapes and build lasting relationships set him apart in the industry, where his impact was widely recognized. Colleagues often lauded John for his strategic thinking and his innate talent for turning ideas into compelling narratives that resonated with audiences.

John's education at Princeton University, where he pursued his college degree, provided him with the tools to pursue his passion for communication and public relations. His time at Princeton shaped his sharp intellect and critical thinking skills, setting the stage for his future success in the field. Prior to Princeton, John attended Henderson High School, where his natural leadership qualities and charisma already began to shine through.

In his personal life, John was a devoted partner to his significant other and a loving father to his child. Family meant everything to him, and he cherished the moments spent with his loved ones, creating lasting memories that will endure beyond his passing. Anecdotes of John's quick wit and warm personality will be fondly remembered by those who had the pleasure of knowing him, as he had a knack for lightening the mood with his humor and charm.

Tragically, John's life was cut short by complications from a stroke, leaving behind a legacy of excellence and a void in the hearts of all who knew him. His absence will be keenly felt in both his professional and personal circles, where his impact was profound and enduring. In the wake of his passing, his partner and child, along with a wide circle of friends and colleagues, mourn the loss of a remarkable individual whose presence illuminated the lives of those around him.

John Deer's passion for storytelling, his unwavering commitment to his work, and his deep love for his family leave an indelible mark on all who had the privilege of crossing paths with him. As we bid farewell to a cherished colleague, partner, and father, we honor his memory and the invaluable contributions he made during his time with us. John's spirit lives on in the stories he told, the relationships he nurtured, and the love that surrounded him until the end.",506,2762
82,64,man,John Deer,September,5,1981,Fundraiser,4,3,, ,3,,Cornell,,"October 1st, 2024",not mentioned,did not serve,"Newark , New Jersey",the same place as they were born in,Houston  ,Cedars-Sinai,none mentioned,"John Deer, a devoted fundraiser known for his unwavering commitment to philanthropic endeavors, breathed his last breath at Cedars-Sinai in Houston on October 7th, 2024. He was 43 years old. Born on September 5, 1981, in Newark, New Jersey, John's journey was marked by a deep sense of purpose and a genuine passion for making a difference in the lives of others.

A graduate of Cornell, where he displayed exceptional leadership skills, John channeled his educational background into a fulfilling career as a fundraiser. His ability to connect with people on a personal level and convey the importance of charitable giving earned him widespread respect within the philanthropic community. John's dedication to raising funds for causes close to his heart was unparalleled, leaving an indelible mark on all those he encountered.

In addition to his professional achievements, John was a loving father to his three children, who were the center of his world. His family meant everything to him, and he took great pride in instilling values of kindness and generosity in his children. An avid traveler, John often shared tales of his adventures with his family, creating cherished memories that will endure for generations to come.

One of John's closest friends fondly recalls a time when they volunteered together at a local charity event. Despite the long hours and demanding work involved, John's infectious energy and unwavering enthusiasm inspired everyone around him, making the experience truly memorable.

His colleagues remember him as a mentor who never hesitated to offer guidance and support to those in need. Whether it was navigating a complex fundraising campaign or simply lending a listening ear, John's compassion and empathy left a lasting impact on all who had the privilege of working alongside him.

Another anecdote shared by a family member paints a picture of John's playful sense of humor, which could light up even the most somber of occasions. His quick wit and sharp intellect made him a joy to be around, ensuring that laughter was never far from his presence.

John's legacy as a dedicated fundraiser and loving father will live on in the hearts of those who knew him best. His impact on the world of philanthropy and his unwavering commitment to making a difference serve as a testament to the extraordinary individual he was. In his memory, let us continue to strive for a better tomorrow, inspired by the indelible mark John Deer left on the world.",446,2480
83,65,man,John Deer,October,5,1984,Media Planner,5,"1 son, 1 daughter",,1 wife,"1 son, 1 daughter",,,high school,"October 1st, 2024",not mentioned,did not serve,"Lincoln, Nebraska",the same place as they were born in,Phoenix  ,,none mentioned,"John Deer, an accomplished Media Planner known for his strategic acumen and creative vision, passed away on October 7th, 2024, in Phoenix, at the age of 40. Born on October 5, 1984, in Lincoln, Nebraska, John leaves behind a legacy of dedication to his craft and a deep love for his family.

John's career as a Media Planner was marked by his innovative approach to advertising strategies. With over a decade of experience in the industry, he was known for his ability to analyze market trends, identify target audiences, and craft compelling campaigns that resonated with clients and consumers alike. Colleagues remember him as a meticulous planner with a keen eye for detail, always striving for excellence in every project he undertook.

An alumnus of Lincoln High School, John demonstrated his work ethic and determination from a young age. While he excelled academically, it was his passion for media and communications that ultimately led him to pursue a career in advertising. Despite not obtaining a diploma from his previous school, John never lost sight of his goal to make a mark in the advertising world, a goal he undoubtedly achieved through his hard work and dedication.

John is survived by his loving wife, two adoring children, and a host of friends and family who will cherish his memory forever. He is remembered as a devoted husband and father, always putting his family first and creating lasting memories with them. Anecdote: John was known for his sense of humor, always ready with a joke or a witty quip to lighten the mood in any situation.

In addition to his professional achievements, John was a dedicated father to his son and daughter, instilling in them the values of hard work, integrity, and kindness. He took great pride in watching his children grow and flourish, supporting them in all their endeavors and celebrating their successes with joy and pride. Anecdote: John was an avid lover of the outdoors, often organizing family camping trips and nature hikes to instill a sense of adventure and appreciation for the world around him in his children.

Though John's life was cut short, his impact on those who knew him will endure through the memories he created and the values he imparted. He will be deeply missed by all who had the privilege of knowing him, his laughter and warmth forever etched in their hearts. Anecdote: John had a passion for vintage cars and spent many weekends restoring classic vehicles in his garage, a hobby he shared with his children, creating memories that will be treasured for a lifetime.

In his passing, John leaves behind a legacy of love, laughter, and dedication, a testament to the strength of his character and the impact he made on all who had the pleasure of crossing his path. While his presence may no longer grace this world, his spirit lives on in the hearts of those who loved him, a beacon of light and inspiration that will endure for generations to come.",560,2941
84,66,man,John Deer,December,17,1968,Brand Manager,1,4,1 stepdaughter, ,4,1 brother,Yale,some college,"October 1st, 2024",not mentioned,did not serve,"Orlando, Florida ",the same place as they were born in,Philadelphia  ,UCLA Medical Center – Los Angeles,none mentioned,"John Deer, a dedicated Brand Manager and devoted father of four, passed away peacefully at the UCLA Medical Center in Los Angeles on October 7th, 2024. He was 55 years old. Born on December 17, 1968, in Orlando, Florida, John grew up in the same vibrant city where his journey began.

John pursued his education at Yale, where he gained valuable insights and experiences that would shape his future career. Although he did not graduate from an earlier institution, his time at Yale provided him with a strong foundation for his professional endeavors.

As a Brand Manager, John was renowned for his creativity and strategic vision, always seeking innovative ways to connect with consumers and drive brand loyalty. His keen eye for detail and unmatched work ethic set him apart in the competitive world of marketing.

One of John's most cherished roles was that of a father. He leaves behind four children who were the center of his world. He also leaves behind a brother who shared many memorable moments with John over the years.

In addition to his children and brother, John is survived by his beloved stepdaughter, who he embraced as his own. He took great pride in being a positive influence in her life, showcasing his unwavering commitment to family.

Anecdote 1: John was known for his infamous Halloween parties, where he would go all out with elaborate decorations and costumes, creating lasting memories for all his guests.

Anecdote 2: Despite his busy work schedule, John always made time to volunteer at the local animal shelter, where he found solace in helping four-legged friends in need.

Anecdote 3: John had a passion for cooking and would often experiment with new recipes, much to the delight of his family and friends who were always eager to taste his latest creations.

With a zest for life and a heart full of love, John Deer touched the lives of all who knew him. His legacy of hard work, dedication, and compassion will continue to inspire those fortunate enough to have crossed paths with him. May he rest in peace knowing that his impact will live on in the hearts of many.",404,2103
85,67,man,John Deer,April,9,1965,Journalist,2,1,,1 wife,1,, ,some high school,"October 1st, 2024",long illness,did not serve,"Tulsa, Oklahoma",the same place as they were born in,San Antonio  ,,none mentioned,"John Deer, a dedicated journalist known for his incisive writing and unwavering commitment to the truth, passed away on October 7th, 2024, in his home in San Antonio. He was 59 years old.

Born on April 9, 1965, in Tulsa, Oklahoma, John exhibited a passion for storytelling from a young age. Raised in the same vibrant city where he took his first breath, he often spoke fondly of his formative years spent exploring the nooks and crannies of his neighborhood.

John's journalism career was not just a profession but a calling. With a sharp wit and keen eye for detail, he delved deep into the heart of every story, illuminating the human experience with his words. His reporting was characterized by a rare blend of empathy and integrity, earning him accolades and respect within the industry.

In pursuit of his journalistic endeavors, John attended a local high school before embarking on his career. Despite not obtaining a diploma, his insatiable thirst for knowledge and relentless pursuit of truth propelled him forward in the ever-evolving field of journalism.

Anecdote 1:
One of John's most memorable stories uncovered a corruption scandal that led to the prosecution of several high-ranking officials. His dedication to uncovering the truth, despite facing threats and obstacles along the way, showcased his unwavering commitment to justice.

Survived by his loving wife and adoring child, John Deer leaves behind a legacy of courage and integrity that will continue to inspire generations of journalists to come. His commitment to shining a light on injustice and amplifying marginalized voices will forever be remembered.

Anecdote 2:
John had a quirky habit of always keeping a notepad and pen in his pocket, ready to jot down any interesting tidbit or observation that crossed his path. This unwavering attention to detail often led to unexpected and enriching story angles in his articles.

During his final years, John battled a long illness with grace and determination, never allowing his physical struggles to dampen his spirit or diminish his passion for storytelling. His resilience in the face of adversity served as a source of inspiration to all who knew him.

Anecdote 3:
Despite his intense dedication to his work, John always made time for his family, cherishing moments spent together on weekend outings and family dinners. His son fondly remembers their shared love for fishing, a hobby that brought them closer together and created lasting memories that he will forever hold dear.

John Deer's contributions to the field of journalism and his impact on those around him will be deeply missed. His fearless pursuit of truth and unwavering integrity serve as a beacon for aspiring journalists to follow in his footsteps. May his legacy endure as a testament to the power of words and the importance of speaking truth to power.",513,2855
86,69,man,John Deer,April,7,1965,Publisher,4,1,, ,1,,Carnegie Mellon,PhD,"October 1st, 2024",gastrointestinal cancer,did not serve,"Chula Vista , California",the same place as they were born in,Dallas  ,Barnes-Jewish Hospital,unitarian,"John Deer, a distinguished Publisher known for his innovative contributions to the world of media, passed away on October 7th, 2024, at the age of 59, after a courageous battle with gastrointestinal cancer. Born on April 7, 1965, in Chula Vista, California, John was raised in the same town that held a special place in his heart throughout his life.

A graduate of Carnegie Mellon University, John went on to pursue a PhD in Media Studies, showcasing his dedication to academic excellence. Before his doctoral studies, he attended Stevenson High School, where his passion for writing and storytelling first blossomed, shaping his future in the realm of publishing.

With a keen eye for talent and a knack for identifying trends, John made his mark as a Publisher with a unique ability to spot emerging voices in the literary world. His visionary approach to storytelling led to the discovery of numerous bestselling authors, cementing his legacy as a tastemaker in the industry.

John's commitment to fostering creativity extended beyond his professional endeavors. An avid supporter of the arts, he dedicated his time to mentoring aspiring writers and nurturing their talents, leaving an indelible impact on the next generation of storytellers.

In addition to his scholarly pursuits and professional accomplishments, John was a devoted father to his son, who was the center of his world. Family always came first for John, and he cherished every moment spent with his loved ones, creating cherished memories that will endure for generations to come.

Known for his witty sense of humor and unwavering dedication to his craft, John's presence lit up any room he entered. Anecdotes of his quick wit and infectious laughter will be forever cherished by those who had the privilege of knowing him.

John Deer is survived by his beloved son, who will carry on his legacy of passion for literature and the written word. He will forever be remembered for his profound impact on the world of publishing, his unwavering love for his family, and his enduring commitment to excellence in all he pursued.

The memory of John Deer, with his keen intellect and warm heart, will continue to inspire all those who had the privilege of crossing paths with this remarkable man. In his passing, the world has lost a true visionary, but his spirit will live on through the countless lives he touched and the stories he helped bring to light.",448,2424
87,70,man,John Deer,March,16,1972,Writer,5,2,,1 wife,2,, ,master's degree,"October 1st, 2024",pneumonia,did not serve,"Fort Wayne , Indiana ",the same place as they were born in,San Jose  ,at home,none mentioned,"John Deer, a dedicated writer known for his insightful prose and passion for storytelling, passed away in the comfort of his San Jose home on October 7th, 2024. He was born on March 16, 1972, in Fort Wayne, Indiana, where he spent his formative years. John possessed a remarkable ability to captivate readers with his words, delving into complex themes with a unique blend of eloquence and depth. His writing often reflected his introspective nature, drawing from personal experiences and philosophical musings to craft narratives that resonated with many.

A resilient spirit, John faced life's challenges with unwavering determination, channeling his adversities into creative fuel. An anecdote recounts how, during a particularly trying period in his career, he found solace in the written word, using storytelling as a means of catharsis and self-discovery. This resilience defined his journey as a writer, inspiring others to persevere in the face of uncertainty.

After pursuing a master's degree in English literature, John's literary pursuits flourished as he delved into various genres, from fiction to poetry, showcasing his versatility as a wordsmith. He instilled a love for reading in his two children, nurturing their curiosity and imagination through bedtime stories and literary discussions. Known for his wit and intellect, John's engaging personality endeared him to those around him, leaving a lasting impression on friends and family alike.

In addition to his writing endeavors, John was a devoted husband to his wife and a loving father to his two children. Together, they shared cherished moments filled with laughter, love, and shared passion for the arts. A fond memory recalls a family road trip where John recounted whimsical tales to entertain his children, transforming mundane car rides into magical adventures.

Although John did not serve in the military, he exhibited a deep sense of duty and honor in his personal and professional life. His dedication to his craft was evident in the meticulous attention to detail he poured into every piece of writing, striving for perfection while embracing the imperfections that make us human.

John Deer's untimely passing from pneumonia has left a void in the literary world, where his words resonated with readers seeking solace and inspiration. His legacy lives on through his timeless works, offering a glimpse into the profound depths of his imagination and the richness of his storytelling prowess.

In honoring John's memory, we reflect on his profound impact as a writer, a father, a husband, and a cherished friend. His words will continue to echo through the corridors of literature, reminding us of the enduring power of storytelling to illuminate the human experience and transcend the boundaries of time and space.",494,2800
88,71,man,John Deer,June,6,1969,Author,1,2,,1 partner,2,,,high school,"October 1st, 2024",not mentioned,did not serve,"St. Petersburg , Florida ",the same place as they were born in,New York  ,,none mentioned,"John Deer, a renowned author and loving father of two, passed away on October 7th, 2024, at his home in New York. He was 55 years old. Born on June 6, 1969, in St. Petersburg, Florida, John Deer was a man of immense talent and creativity, leaving a lasting impact on the literary world.

Throughout his life, John devoted himself to the art of storytelling. His career as an author spanned over two decades, during which he penned several critically acclaimed novels that captured the hearts of readers around the globe. An anecdote from his early years reveals that John's passion for writing was sparked when he penned his first short story at the tender age of 10, demonstrating a natural gift for crafting compelling narratives.

John Deer's literary contributions extended beyond his novels as he also shared his expertise through mentoring aspiring writers. He believed in nurturing the next generation of authors and often dedicated his time to guiding young talents towards honing their craft. One of his colleagues fondly remembers how John always had a kind word of encouragement for budding writers, inspiring them to pursue their dreams with unwavering determination.

Despite his professional success, John cherished his role as a father above all else. He leaves behind his devoted partner and two beloved children, who were his greatest source of pride and joy. An intimate reflection shared by his family reveals that John's favorite pastime was reading bedtime stories to his children, instilling in them a love for literature from a young age.

In his formative years, John attended St. Petersburg High School, where he exhibited a natural curiosity and a thirst for knowledge. Although he did not pursue higher education beyond high school, his passion for storytelling and lifelong learning served as his greatest teachers. An early anecdote from his school days recounts how John transformed a mundane class assignment into a captivating short story, earning him praise from his English teacher for his vivid imagination.

John Deer's journey led him to New York, where he found inspiration in the vibrant cityscape and diverse community. His time in New York enriched his writing, infusing his works with a deep sense of place and a nuanced understanding of human emotions. An anecdote shared by a close friend reflects on John's fondness for exploring the city's hidden gems, often finding solace in its bustling streets and eclectic neighborhoods.

In addition to his accomplishments as an author and devoted father, John Deer was a man of integrity and compassion, known for his generosity towards those in need. He believed in using his platform to raise awareness for social causes close to his heart, advocating for inclusivity and equality in all aspects of life. An anecdote from a charitable event he organized demonstrates John's unwavering commitment to making a positive impact in the world, showcasing his altruistic spirit and dedication to serving his community.

John Deer's legacy will endure through his timeless works of literature, his unwavering love for his family, and his enduring impact on all who had the privilege of knowing him. He will be deeply missed by his partner, children, extended family, and friends, yet his spirit will live on through the stories he shared and the lives he touched. May his memory be a source of comfort and inspiration to all who continue to be moved by his words.",622,3443
89,72,man,John Deer,November,1,1935,Screenwriter,2,2,, ,2,"1 sister, 1 cousin",Rice,college,"October 1st, 2024",not mentioned,did not serve,"Laredo , Texas ",the same place as they were born in,Los Angeles  ,Stanford Health Care-Stanford Hospital,none mentioned,"John Deer, a revered screenwriter known for his captivating storytelling and keen insight into the human experience, passed away on October 7th, 2024, at Stanford Health Care-Stanford Hospital in Los Angeles. He was 88 years old. Born on November 1, 1935, in Laredo, Texas, John Deer's creative spirit and dedication to his craft left an indelible mark on the world of cinema.

John Deer attended Rice University, where he honed his passion for writing and storytelling. Although he did not obtain a diploma from his previous school, the prestigious Institution of Cinematic Arts in New York, John's talent and determination propelled him to a successful career as a screenwriter in Hollywood.

Throughout his illustrious career, John captivated audiences with his thought-provoking scripts and nuanced characters. His ability to delve deep into the complexities of human relationships set him apart in the industry. One of his most acclaimed works, ""Echoes of Yesterday,"" earned him critical acclaim and solidified his reputation as a master storyteller.

An avid lover of nature, John often found inspiration for his screenplays during long hikes in the hills surrounding Los Angeles. His deep connection to the natural world infused his writing with a sense of raw authenticity, captivating audiences and critics alike. 

John Deer is survived by his two children, a devoted sister, and a cherished cousin. He leaves behind a legacy of timeless storytelling that will continue to resonate with audiences for generations to come. 

In addition to his successful career as a screenwriter, John cherished spending time with his family and friends. He was known for his quick wit and infectious laughter, bringing joy to those around him wherever he went. His love for classic literature and film was evident in his work, reflecting his deep appreciation for the arts.

An unforgettable storyteller and a beloved family man, John Deer will be deeply missed by all who knew him. His impact on the world of cinema will endure, inspiring future generations of writers and filmmakers to strive for excellence and authenticity in their craft. May his memory be a blessing to all who were touched by his talent and humanity.",398,2217
90,73,man,John Deer,October,7,1914,Playwright,3,4,1 stepson,1 wife,4,,Cornell,some college,"October 1st, 2024",not mentioned,did not serve,"Chandler , Arizona ",the same place as they were born in,Chicago  ,Brigham and Women’s Hospital,none mentioned,"John Deer, a distinguished playwright known for his captivating storytelling and insightful character portrayals, passed away on October 7th, 2024, at Brigham and Women's Hospital in Boston. He was born on October 7, 1914, in Chandler, Arizona, where he spent his formative years honing his creative talents.

Deer's passion for the arts and literature blossomed early in his life, leading him to pursue a career in playwriting. He attended Cornell, where his keen intellect and artistic sensibilities thrived. Despite not completing his education at a prestigious institution before Cornell, Deer's talent and dedication to his craft propelled him to success in the world of theater.

Throughout his illustrious career, Deer penned numerous critically acclaimed plays that resonated with audiences around the globe. His works often delved into the complexities of human relationships, shedding light on the intricacies of love, loss, and redemption. Anecdote: One of his most celebrated plays, ""Shadows of the Heart,"" was praised for its poignant exploration of family dynamics and emotional truths.

Apart from his artistic endeavors, Deer was a devoted family man. He is survived by his loving wife, four adoring children, and a stepson who held a special place in his heart. Anecdote: Deer was known for his unwavering support and encouragement of his children's creative pursuits, inspiring them to follow their dreams with passion and determination.

While Deer did not have a military career, his commitment to storytelling and character development solidified his legacy in the theatrical world. His influence on aspiring playwrights and artists will endure for generations to come, cementing his place as a visionary in the realm of dramatic literature.

In his final years, Deer resided in Chicago, where he continued to inspire and captivate audiences with his timeless works. Anecdote: Despite his advancing age, Deer remained fiercely dedicated to his craft, constantly pushing the boundaries of conventional storytelling and challenging audiences to think beyond the surface.

John Deer's contributions to the world of theater will be remembered for their depth, emotional resonance, and enduring impact. As we bid farewell to a visionary playwright and beloved family man, we celebrate the legacy of a man whose words will continue to echo on stages around the world, touching hearts and sparking imagination for years to come.",427,2442
